task_template;answer;author;task_id;max_score
<p>Найдите точку максимума функции $y = 7 + 15x - x\sqrt{x}$</p>;100;ФИПИ;55;1
"<p>Какое из следующих утверждений является истинным высказыванием?</p>
<p>1) Площадь квадрата равна произведению двух его смежных сторон.</p>
<p>2) Диагональ трапеции делит её на два равных треугольника.</p>
<p>3) Если две стороны одного треугольника соответственно равны двум сторонам другого треугольника, то такие треугольники равны.</p>
<p>В ответ запишите номер истинного высказывания.</p>";1;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Расстояние от точки, лежащей на окружности, до центра окружности равно радиусу.</p>
<p>2) Площадь трапеции равна произведению основания трапеции на высоту.</p>
<p>3) Треугольника со сторонами $1, 2, 4$ не существует.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Если три угла одного треугольника равны соответственно трём углам другого треугольника, то такие треугольники равны.</p>
<p>2) Через точку, не лежащую на данной прямой, можно провести прямую, параллельную данной.</p>
<p>3) Расстояние от точки, лежащей на окружности, до центра окружности равно радиусу.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Площадь треугольника меньше произведения двух его сторон.</p>
<p>2) Средняя линия трапеции равна сумме её оснований.</p>
<p>3) Если два угла одного треугольника равны двум углам другого треугольника, то такие треугольники подобны.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Площадь ромба равна произведению его стороны на высоту, проведённую к этой стороне.</p>
<p>2) Боковые стороны любой трапеции равны.</p>
<p>3) В любом треугольнике один из углов не превышает $60º$.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Длина гипотенузы прямоугольного треугольника меньше суммы длин его катетов.</p>
<p>2) Если точка лежит на биссектрисе угла, то она равноудалена от сторон этого угла.</p>
<p>3) Если диагонали параллелограмма равны, то этот параллелограмм является ромбом.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";12;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Все углы ромба равны.</p>
<p>2) Площадь квадрата равна произведению двух его смежных сторон.</p>
<p>3) Любые два равносторонних треугольника подобны.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Длина гипотенузы прямоугольного треугольника меньше суммы длин его катетов.</p>
<p>2) Любой прямоугольник можно вписать в окружность.</p>
<p>3) Через заданную точку плоскости можно провести только одну прямую.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";12;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Длина гипотенузы прямоугольного треугольника меньше суммы длин его катетов.</p>
<p>2) В тупоугольном треугольнике все углы тупые.</p>
<p>3) Средняя линия трапеции равна полусумме её оснований.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Один из углов треугольника всегда не превышает $60$ градусов.</p>
<p>2) Площадь ромба равна произведению его стороны на высоту, проведённую к этой стороне.</p>
<p>3) Две прямые, параллельные третьей прямой, перпендикулярны.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";12;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Через точку, не лежащую на данной прямой, можно провести прямую, параллельную данной.</p>
<p>2) В тупоугольном треугольнике все углы тупые.</p>
<p>3) Любой квадрат является прямоугольником.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Треугольника со сторонами $1, 2, 4$ не существует.</p>
<p>2) Медиана треугольника делит пополам угол, из вершины которого проведена.</p>
<p>3) Все диаметры окружности равны между собой.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Диагональ параллелограмма делит его на два равных треугольника.</p>
<p>2) Все углы ромба равны.</p>
<p>3) Площадь квадрата равна произведению двух его смежных сторон.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Существует квадрат, который не является прямоугольником.</p>
<p>2) Если в параллелограмме две соседние стороны равны, то этот параллелограмм является ромбом.</p>
<p>3) Все диаметры окружности равны между собой.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Сумма углов любого треугольника равна $360$ градусам.</p>
<p>2) Серединные перпендикуляры к сторонам треугольника пересекаются в точке, являющейся центром описанной около треугольника окружности.</p>
<p>3) Треугольника со сторонами $1, 2, 4$ не существует.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Средняя линия трапеции равна сумме её оснований.</p>
<p>2) Все углы прямоугольника равны.</p>
<p>3) Существуют три прямые, которые проходят через одну точку.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Существуют три прямые, которые проходят через одну точку.</p>
<p>2) Боковые стороны любой трапеции равны.</p>
<p>3) Сумма углов равнобедренного треугольника равна $180$ градусам.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Площадь треугольника меньше произведения двух его сторон.</p>
<p>2) Угол, вписанный в окружность, равен соответствующему центральному углу, опирающемуся на ту же дугу.</p>
<p>3) Через точку, не лежащую на данной прямой, можно провести прямую, перпендикулярную данной.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Если две стороны одного треугольника соответственно равны двум сторонам другого треугольника, то такие треугольники равны.</p>
<p>2) Средняя линия трапеции параллельна её основаниям.</p>
<p>3) Длина гипотенузы прямоугольного треугольника меньше суммы длин его катетов.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Все высоты равностороннего треугольника равны.</p>
<p>2) Угол, вписанный в окружность, равен соответствующему центральному углу, опирающемуся на ту же дугу.</p>
<p>3) В любой ромб можно вписать окружность.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Через заданную точку плоскости можно провести только одну прямую.</p>
<p>2) Любые два равносторонних треугольника подобны.</p>
<p>3) Вписанный угол, опирающийся на диаметр окружности, – прямой.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Через заданную точку плоскости можно провести только одну прямую.</p>
<p>2) Все равносторонние треугольники подобны.</p>
<p>3) Сумма острых углов прямоугольного треугольника равна $90$ градусам.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Через заданную точку плоскости можно провести только одну прямую.</p>
<p>2) Диагонали прямоугольника точкой пересечения делятся пополам.</p>
<p>3) Внешний угол треугольника больше не смежного с ним внутреннего угла.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";23;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Если в параллелограмме две соседние стороны равны, то этот параллелограмм является ромбом.</p>
<p>2) Существует прямоугольник, диагонали которого взаимно перпендикулярны.</p>
<p>3) Сумма углов любого треугольника равна $360$  градусам.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";12;ФИПИ;81;1
"<p>Какие из следующих утверждений являются истинными высказываниями?</p>
<p>1) Площадь ромба равна произведению двух его смежных сторон на синус угла между ними.</p>
<p>2) В тупоугольном треугольнике все углы тупые.</p>
<p>3) Существуют три прямые, которые проходят через одну точку.</p>
<p>В ответ запишите номера истинных высказываний без пробелов, запятых и других дополнительных символов.</p>";13;ФИПИ;81;1
